order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-727bebd5,2025-10-01,-8.457699,40.194301,coimbra,10,low,2025-10-21 22:26:34.029051+00:00
ord-1236fd42,2025-10-01,-8.418598,40.218987,coimbra,5,high,2025-10-21 22:26:34.029051+00:00
ord-017471c5,2025-10-01,-7.290093,40.521048,guarda,10,high,2025-10-21 22:26:34.029051+00:00
ord-1e09de41,2025-10-01,-8.625425,41.166541,porto,20,low,2025-10-21 22:26:34.029051+00:00
ord-13105166,2025-10-01,-8.676644,39.248577,santarém,5,low,2025-10-21 22:26:34.029051+00:00
ord-2197eaa2,2025-10-01,-7.271585,40.523519,guarda,15,low,2025-10-21 22:26:34.029051+00:00
ord-e8922e1a,2025-10-01,-8.436404,41.539759,braga,15,high,2025-10-21 22:26:34.029051+00:00
ord-6dc92fc7,2025-10-01,-8.874772,38.533589,setúbal,5,normal,2025-10-21 22:26:34.029051+00:00
ord-791add44,2025-10-01,-8.426078,41.558576,braga,15,high,2025-10-21 22:26:34.029051+00:00
ord-b1cf4eab,2025-10-01,-7.901426,40.642833,viseu,10,normal,2025-10-21 22:26:34.029051+00:00
ord-746d9580,2025-10-01,-8.407881,41.560059,braga,20,normal,2025-10-21 22:26:34.029051+00:00
ord-d068b8b7,2025-10-01,-8.673859,39.230793,santarém,15,normal,2025-10-21 22:26:34.029051+00:00
ord-ff733b33,2025-10-01,-7.903489,40.669073,viseu,5,high,2025-10-21 22:26:34.029051+00:00
ord-02a184c8,2025-10-01,-7.933052,37.009192,faro,20,normal,2025-10-21 22:26:34.029051+00:00
ord-a34ef565,2025-10-01,-8.863829,38.53,setúbal,10,high,2025-10-21 22:26:34.029051+00:00
