order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-02e9fbed,2025-10-18,-8.637805,40.656636,aveiro,5,normal,2025-10-21 22:26:34.029051+00:00
ord-69053513,2025-10-18,-8.709998,39.230794,santarém,10,low,2025-10-21 22:26:34.029051+00:00
ord-34399540,2025-10-18,-8.815397,39.74022,leiria,10,low,2025-10-21 22:26:34.029051+00:00
ord-46676a83,2025-10-18,-7.840612,38.009734,beja,15,low,2025-10-21 22:26:34.029051+00:00
ord-1be6cb72,2025-10-18,-8.868357,38.542168,setúbal,15,high,2025-10-21 22:26:34.029051+00:00
ord-2564e97e,2025-10-18,-8.815046,41.691933,viana do castelo,5,low,2025-10-21 22:26:34.029051+00:00
ord-34e31635,2025-10-18,-7.888092,38.575669,évora,20,high,2025-10-21 22:26:34.029051+00:00
ord-4dfd021f,2025-10-18,-7.770682,41.296383,vilareal,15,high,2025-10-21 22:26:34.029051+00:00
ord-69cb8ae0,2025-10-18,-8.431913,40.210213,coimbra,15,high,2025-10-21 22:26:34.029051+00:00
ord-886dd444,2025-10-18,-6.737355,41.824312,bragança,5,high,2025-10-21 22:26:34.029051+00:00
ord-c269377a,2025-10-18,-7.911411,38.571482,évora,15,high,2025-10-21 22:26:34.029051+00:00
ord-f22c8116,2025-10-18,-7.900841,38.572116,évora,20,high,2025-10-21 22:26:34.029051+00:00
ord-8139604d,2025-10-18,-8.796046,39.728267,leiria,5,low,2025-10-21 22:26:34.029051+00:00
ord-285d641d,2025-10-18,-8.775244,39.728245,leiria,10,high,2025-10-21 22:26:34.029051+00:00
ord-626de91f,2025-10-18,-8.652181,40.63534,aveiro,20,high,2025-10-21 22:26:34.029051+00:00
