order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-ebb4cdc0,2025-10-07,-7.242239,40.519063,guarda,15,low,2025-10-21 22:26:34.029051+00:00
ord-dafb4202,2025-10-07,-8.913505,38.522073,setúbal,20,high,2025-10-21 22:26:34.029051+00:00
ord-ea53c642,2025-10-07,-8.652388,41.175702,porto,10,high,2025-10-21 22:26:34.029051+00:00
ord-481ee00e,2025-10-07,-9.119224,38.7256,lisboa,10,normal,2025-10-21 22:26:34.029051+00:00
ord-30d73ee7,2025-10-07,-8.67299,40.635086,aveiro,5,normal,2025-10-21 22:26:34.029051+00:00
ord-bcadb637,2025-10-07,-7.902776,40.667677,viseu,15,high,2025-10-21 22:26:34.029051+00:00
ord-ea66f894,2025-10-07,-7.23357,40.547279,guarda,10,low,2025-10-21 22:26:34.029051+00:00
ord-1954020b,2025-10-07,-7.912215,37.000391,faro,15,normal,2025-10-21 22:26:34.029051+00:00
ord-6feae575,2025-10-07,-7.923692,38.578195,évora,5,normal,2025-10-21 22:26:34.029051+00:00
ord-b989eedd,2025-10-07,-9.117784,38.711197,lisboa,20,normal,2025-10-21 22:26:34.029051+00:00
ord-79503012,2025-10-07,-8.785768,39.758453,leiria,10,low,2025-10-21 22:26:34.029051+00:00
ord-08a72013,2025-10-07,-7.919792,40.652144,viseu,5,normal,2025-10-21 22:26:34.029051+00:00
ord-743becb0,2025-10-07,-7.737611,41.296587,vilareal,15,low,2025-10-21 22:26:34.029051+00:00
ord-1d5b47e8,2025-10-07,-8.406578,40.193749,coimbra,15,low,2025-10-21 22:26:34.029051+00:00
ord-e8bc762f,2025-10-07,-8.423406,40.197127,coimbra,15,normal,2025-10-21 22:26:34.029051+00:00
