order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-04f2377b,2025-10-16,-8.645597,40.649164,aveiro,15,normal,2025-10-21 22:26:34.029051+00:00
ord-a49326da,2025-10-16,-7.462085,39.811949,castelo branco,10,normal,2025-10-21 22:26:34.029051+00:00
ord-2452a99e,2025-10-16,-7.888388,40.66133,viseu,10,low,2025-10-21 22:26:34.029051+00:00
ord-b0f48642,2025-10-16,-8.876839,38.538576,setúbal,15,high,2025-10-21 22:26:34.029051+00:00
ord-b699fbe9,2025-10-16,-8.873967,38.515714,setúbal,15,high,2025-10-21 22:26:34.029051+00:00
ord-752bd891,2025-10-16,-7.468984,39.820062,castelo branco,20,normal,2025-10-21 22:26:34.029051+00:00
ord-8c5f862b,2025-10-16,-8.830185,41.694937,viana do castelo,20,normal,2025-10-21 22:26:34.029051+00:00
ord-0175ffeb,2025-10-16,-7.884854,40.650552,viseu,20,low,2025-10-21 22:26:34.029051+00:00
ord-00ef46b4,2025-10-16,-7.289381,40.547088,guarda,20,normal,2025-10-21 22:26:34.029051+00:00
ord-61cf867a,2025-10-16,-8.64578,40.621981,aveiro,15,low,2025-10-21 22:26:34.029051+00:00
ord-459244c0,2025-10-16,-8.706017,39.252618,santarém,5,high,2025-10-21 22:26:34.029051+00:00
ord-4daa0d2f,2025-10-16,-8.650901,40.646691,aveiro,10,low,2025-10-21 22:26:34.029051+00:00
ord-f9c2c095,2025-10-16,-7.474008,39.812801,castelo branco,20,high,2025-10-21 22:26:34.029051+00:00
ord-d783a327,2025-10-16,-8.408094,41.559494,braga,20,normal,2025-10-21 22:26:34.029051+00:00
ord-b4d39e05,2025-10-16,-7.468557,39.803636,castelo branco,5,low,2025-10-21 22:26:34.029051+00:00
