order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-ef109079,2025-10-02,-9.155557,38.703584,lisboa,15,normal,2025-10-21 22:26:34.029051+00:00
ord-14fe744c,2025-10-02,-8.919229,38.540925,setúbal,15,low,2025-10-21 22:26:34.029051+00:00
ord-b43660ae,2025-10-02,-7.497162,39.838782,castelo branco,20,low,2025-10-21 22:26:34.029051+00:00
ord-4837a7b6,2025-10-02,-8.914822,38.5342,setúbal,15,high,2025-10-21 22:26:34.029051+00:00
ord-100b2d45,2025-10-02,-7.238131,40.533276,guarda,10,low,2025-10-21 22:26:34.029051+00:00
ord-2e8a8955,2025-10-02,-7.432589,39.306931,portalegre,5,low,2025-10-21 22:26:34.029051+00:00
ord-949bbe3d,2025-10-02,-7.917575,37.016286,faro,5,normal,2025-10-21 22:26:34.029051+00:00
ord-800fe89f,2025-10-02,-6.750947,41.805422,bragança,15,high,2025-10-21 22:26:34.029051+00:00
ord-827baa68,2025-10-02,-8.618283,41.142482,porto,15,high,2025-10-21 22:26:34.029051+00:00
ord-4df055e3,2025-10-02,-8.856607,41.690591,viana do castelo,20,low,2025-10-21 22:26:34.029051+00:00
