order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-27de29f9,2025-10-21,-8.657599,41.148901,porto,10,low,2025-10-21 22:28:36.174358+00:00
ord-7722d207,2025-10-21,-8.618498,41.173587,porto,5,high,2025-10-21 22:28:36.174358+00:00
ord-bdd1b18c,2025-10-21,-8.457293,40.187048,coimbra,10,high,2025-10-21 22:28:36.174358+00:00
ord-7faaacc5,2025-10-21,-8.625425,41.166541,porto,20,low,2025-10-21 22:28:36.174358+00:00
ord-4f925d8f,2025-10-21,-8.423844,40.215677,coimbra,5,low,2025-10-21 22:28:36.174358+00:00
ord-5fdcf9fb,2025-10-21,-8.438785,40.189519,coimbra,15,low,2025-10-21 22:28:36.174358+00:00
ord-afbec077,2025-10-21,-8.636304,41.152259,porto,15,high,2025-10-21 22:28:36.174358+00:00
ord-0f5f5c38,2025-10-21,-8.410772,41.554589,braga,5,normal,2025-10-21 22:28:36.174358+00:00
ord-a809a0bd,2025-10-21,-8.625978,41.171076,porto,15,high,2025-10-21 22:28:36.174358+00:00
ord-ec29aba5,2025-10-21,-9.127026,38.704133,lisboa,10,normal,2025-10-21 22:28:36.174358+00:00
ord-071325cd,2025-10-21,-8.607781,41.172559,porto,20,normal,2025-10-21 22:28:36.174358+00:00
ord-8dd607f1,2025-10-21,-8.421059,40.197893,coimbra,15,normal,2025-10-21 22:28:36.174358+00:00
ord-5e9ed205,2025-10-21,-9.129089,38.730373,lisboa,5,high,2025-10-21 22:28:36.174358+00:00
ord-5e8081ba,2025-10-21,-9.137252,38.712092,lisboa,20,normal,2025-10-21 22:28:36.174358+00:00
ord-6a50458d,2025-10-21,-8.399829,41.551,braga,10,high,2025-10-21 22:28:36.174358+00:00
