order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-8cc7dafa,2025-10-09,-7.929147,38.585019,évora,20,low,2025-10-21 22:26:34.029051+00:00
ord-cea1a3ad,2025-10-09,-7.878248,38.029033,beja,20,low,2025-10-21 22:26:34.029051+00:00
ord-85d656bd,2025-10-09,-8.671945,39.255716,santarém,15,normal,2025-10-21 22:26:34.029051+00:00
ord-cb4bcef8,2025-10-09,-7.436596,39.312974,portalegre,20,low,2025-10-21 22:26:34.029051+00:00
ord-c64f816d,2025-10-09,-7.493896,39.832271,castelo branco,15,high,2025-10-21 22:26:34.029051+00:00
ord-7627e1f8,2025-10-09,-7.483295,39.813184,castelo branco,5,high,2025-10-21 22:26:34.029051+00:00
ord-3d072064,2025-10-09,-8.82093,39.737034,leiria,5,low,2025-10-21 22:26:34.029051+00:00
ord-06db4110,2025-10-09,-8.661624,40.648258,aveiro,10,low,2025-10-21 22:26:34.029051+00:00
ord-9ccfdb6d,2025-10-09,-7.267544,40.539004,guarda,20,low,2025-10-21 22:26:34.029051+00:00
ord-f95e2534,2025-10-09,-7.893727,40.656579,viseu,5,high,2025-10-21 22:26:34.029051+00:00
ord-e593da4f,2025-10-09,-6.758081,41.82441,bragança,15,normal,2025-10-21 22:26:34.029051+00:00
