order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-500f7615,2025-10-17,-8.775154,39.753471,leiria,20,low,2025-10-21 22:26:34.029051+00:00
ord-dd565e87,2025-10-17,-8.432579,40.21106,coimbra,5,low,2025-10-21 22:26:34.029051+00:00
ord-e6630096,2025-10-17,-8.815531,41.684935,viana do castelo,15,normal,2025-10-21 22:26:34.029051+00:00
ord-262f7368,2025-10-17,-8.660848,40.636982,aveiro,10,low,2025-10-21 22:26:34.029051+00:00
ord-8971a3a8,2025-10-17,-7.960362,37.034234,faro,10,normal,2025-10-21 22:26:34.029051+00:00
ord-4224e773,2025-10-17,-8.661569,40.646016,aveiro,20,normal,2025-10-21 22:26:34.029051+00:00
ord-c6ff1f6d,2025-10-17,-8.605165,41.15651,porto,15,high,2025-10-21 22:26:34.029051+00:00
ord-eadc39b9,2025-10-17,-7.883721,38.012769,beja,15,high,2025-10-21 22:26:34.029051+00:00
ord-e2903fc8,2025-10-17,-8.796664,39.740572,leiria,15,normal,2025-10-21 22:26:34.029051+00:00
ord-ab476418,2025-10-17,-8.823047,39.738988,leiria,20,low,2025-10-21 22:26:34.029051+00:00
ord-3ecfab81,2025-10-17,-7.916818,38.561058,évora,15,high,2025-10-21 22:26:34.029051+00:00
ord-5b3c4439,2025-10-17,-8.833684,39.756802,leiria,20,normal,2025-10-21 22:26:34.029051+00:00
ord-2d8de061,2025-10-17,-8.625144,41.165332,porto,5,high,2025-10-21 22:26:34.029051+00:00
ord-68ba9918,2025-10-17,-7.47093,39.838317,castelo branco,10,high,2025-10-21 22:26:34.029051+00:00
ord-168e637f,2025-10-17,-7.76296,41.288205,vilareal,15,high,2025-10-21 22:26:34.029051+00:00
