order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-c6c9598a,2025-10-06,-8.408119,41.528141,braga,5,high,2025-10-21 22:26:34.029051+00:00
ord-167cc952,2025-10-06,-7.915473,38.584364,évora,10,high,2025-10-21 22:26:34.029051+00:00
ord-923b8a28,2025-10-06,-9.132137,38.719069,lisboa,15,normal,2025-10-21 22:26:34.029051+00:00
ord-70262087,2025-10-06,-7.903516,40.653567,viseu,15,normal,2025-10-21 22:26:34.029051+00:00
ord-ae524c66,2025-10-06,-8.635199,40.6325,aveiro,15,low,2025-10-21 22:26:34.029051+00:00
ord-e178a207,2025-10-06,-8.631603,41.177838,porto,5,low,2025-10-21 22:26:34.029051+00:00
ord-5e53f114,2025-10-06,-7.880411,38.005708,beja,15,low,2025-10-21 22:26:34.029051+00:00
ord-b736655d,2025-10-06,-7.917528,38.55301,évora,15,high,2025-10-21 22:26:34.029051+00:00
ord-23cecb82,2025-10-06,-7.461731,39.309384,portalegre,15,high,2025-10-21 22:26:34.029051+00:00
ord-d530c47d,2025-10-06,-8.402864,40.188672,coimbra,5,low,2025-10-21 22:26:34.029051+00:00
ord-527f3756,2025-10-06,-7.883873,38.00637,beja,10,high,2025-10-21 22:26:34.029051+00:00
ord-446fca28,2025-10-06,-8.851084,41.69857,viana do castelo,15,high,2025-10-21 22:26:34.029051+00:00
ord-b6bb01f3,2025-10-06,-7.505833,39.838526,castelo branco,5,low,2025-10-21 22:26:34.029051+00:00
