order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-e2df3e55,2025-10-15,-7.272001,40.544105,guarda,10,normal,2025-10-21 22:26:34.029051+00:00
ord-fd1df207,2025-10-15,-7.25038,40.528829,guarda,20,high,2025-10-21 22:26:34.029051+00:00
ord-a6fedef9,2025-10-15,-9.14201,38.714881,lisboa,15,low,2025-10-21 22:26:34.029051+00:00
ord-452e4a41,2025-10-15,-6.734805,41.819697,bragança,5,high,2025-10-21 22:26:34.029051+00:00
ord-9f61bcfb,2025-10-15,-7.865481,37.997268,beja,15,high,2025-10-21 22:26:34.029051+00:00
ord-8001a5d0,2025-10-15,-7.483375,39.8326,castelo branco,10,normal,2025-10-21 22:26:34.029051+00:00
ord-bc419b39,2025-10-15,-7.885339,38.006621,beja,20,low,2025-10-21 22:26:34.029051+00:00
ord-d384690b,2025-10-15,-8.600711,41.162255,porto,10,high,2025-10-21 22:26:34.029051+00:00
ord-c8f03b6e,2025-10-15,-7.946455,36.999947,faro,20,low,2025-10-21 22:26:34.029051+00:00
ord-7984cca7,2025-10-15,-7.880165,38.583217,évora,20,low,2025-10-21 22:26:34.029051+00:00
