order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-2c3ad23d,2025-10-13,-8.842191,41.69135,viana do castelo,15,normal,2025-10-21 22:26:34.029051+00:00
ord-797a2c09,2025-10-13,-7.932461,38.554403,évora,5,high,2025-10-21 22:26:34.029051+00:00
ord-7d679fa4,2025-10-13,-7.836147,38.022707,beja,10,low,2025-10-21 22:26:34.029051+00:00
ord-498b53db,2025-10-13,-7.50431,39.825783,castelo branco,15,low,2025-10-21 22:26:34.029051+00:00
ord-6174e49a,2025-10-13,-7.925925,40.655435,viseu,15,low,2025-10-21 22:26:34.029051+00:00
ord-a95f57ac,2025-10-13,-7.885605,37.996921,beja,5,high,2025-10-21 22:26:34.029051+00:00
ord-8f0747ec,2025-10-13,-8.793155,39.728651,leiria,20,low,2025-10-21 22:26:34.029051+00:00
ord-ff5028f8,2025-10-13,-8.624656,41.156676,porto,20,normal,2025-10-21 22:26:34.029051+00:00
ord-b9f4b081,2025-10-13,-7.90717,37.009499,faro,20,low,2025-10-21 22:26:34.029051+00:00
ord-a9bf0203,2025-10-13,-8.435158,41.528363,braga,5,low,2025-10-21 22:26:34.029051+00:00
ord-eb090369,2025-10-13,-8.626831,40.658465,aveiro,5,low,2025-10-21 22:26:34.029051+00:00
ord-a2c2bfb8,2025-10-13,-8.425716,40.199947,coimbra,10,high,2025-10-21 22:26:34.029051+00:00
ord-792db4e6,2025-10-13,-6.759669,41.804409,bragança,20,normal,2025-10-21 22:26:34.029051+00:00
