order_id,scheduled_date,lon,lat,city,service_time_min,priority,datetime_ingestion
ord-4750d1db,2025-10-08,-7.455261,39.31268,portalegre,10,normal,2025-10-21 22:26:34.029051+00:00
ord-e394d634,2025-10-08,-9.126773,38.702368,lisboa,10,normal,2025-10-21 22:26:34.029051+00:00
ord-22f5c794,2025-10-08,-7.287802,40.54387,guarda,15,high,2025-10-21 22:26:34.029051+00:00
ord-17d76ca1,2025-10-08,-8.823497,41.678185,viana do castelo,15,high,2025-10-21 22:26:34.029051+00:00
ord-bd953d05,2025-10-08,-8.794986,39.736647,leiria,15,high,2025-10-21 22:26:34.029051+00:00
ord-dbe55971,2025-10-08,-8.66399,40.647097,aveiro,20,high,2025-10-21 22:26:34.029051+00:00
ord-2bf22676,2025-10-08,-7.928169,37.011438,faro,5,normal,2025-10-21 22:26:34.029051+00:00
ord-01fa7476,2025-10-08,-8.822389,39.75503,leiria,15,normal,2025-10-21 22:26:34.029051+00:00
ord-eb18d96e,2025-10-08,-8.68547,39.224748,santarém,20,high,2025-10-21 22:26:34.029051+00:00
ord-cc76a2d0,2025-10-08,-7.925569,37.010751,faro,15,low,2025-10-21 22:26:34.029051+00:00
ord-5adabab1,2025-10-08,-7.899332,38.555686,évora,10,low,2025-10-21 22:26:34.029051+00:00
ord-3998a6e9,2025-10-08,-8.656327,41.177257,porto,5,normal,2025-10-21 22:26:34.029051+00:00
ord-b7311721,2025-10-08,-7.238832,40.540327,guarda,20,normal,2025-10-21 22:26:34.029051+00:00
ord-d7569f55,2025-10-08,-6.772061,41.812942,bragança,5,low,2025-10-21 22:26:34.029051+00:00
